"ProjectId","Completed","Title","Project Lead","Institution","Submitted Time","Keywords","Results"
"414","","Creating a Highly Configurable, Scalable Cloud Test Bed Using Nimbus and Phantom","Patricia Teller","The University of Texas at El Paso, Computer Science","02/28/2014 - 09:58","","See Link"
"412","","Short Course on Algorithmic Differentiation","Jean Utke","Argonne National Laboratory, MCS","02/24/2014 - 09:58","","See Link"
"413","","Running SWAT model on the cloud","Lan Zhao","Purdue University, ITaP Research Computing","02/24/2014 - 12:45","","See Link"
"411","","ILS-Z604 Big Data Analytics for Web and Text - SP14 Group #2","Trevor Edelblute","Indiana University, Department of Information & Library Science, School of Informatics & Computing","02/08/2014 - 14:54","","See Link"
"410","","Scaling up computational biology applications","Saurabh Bagchi","Purdue University, ECE and CS","02/03/2014 - 11:37","",""
"409","","Apache Storm and Samza","Supun Kamburugamuva","Indiana University, Computer Science Department","01/24/2014 - 15:20","",""
"408","","Use of ILP for cancer driver prioritization","Ermin Hodzic","Indiana University, Computer Science Department","01/23/2014 - 13:51","",""
"406","","Experimental Testbed for MOOC Support","Abhilash Koppula","Indiana University, Community Grids Lab","01/13/2014 - 12:57","",""
"407","","Evaluating ScaleMP virtual shared memory architecture for use in HPC","Andrew Younge","Indiana University, Community Grids Laboratory","01/20/2014 - 09:49","",""
"405","","Spring 2014 CSCI-B649 Cloud Computing MOOC for residential and online students","Judy Qiu","Indiana University, School of Informatics and Computing","12/27/2013 - 11:47","",""
"404","","Enhancing Usage of cloud Infrastructure","Rahul Limbole","Veermata Jijabai Technological Institute Mumbai, Computer Science Department","12/21/2013 - 01:36","",""
"403","","The evolution of microbial symbionts and their biosynthetic pathways through shotgun metagenomics","Jason Kwan","University of Wisconsin-Madison, Division of Pharmaceutical Sciences, School of Pharmacy","12/19/2013 - 10:28","",""
"402","","Investigation on Network Performance in Virtual Machine Based Cloud Environments","Feng Wang","The University of Mississippi, Computer and Information Science","12/18/2013 - 15:14","",""
"400","","Use Hadoop to find popular words of open source Java codes","Lin Liu","university of nebraska-lincoln, Computer science and engineering","12/10/2013 - 21:53","",""
"401","","Evaluation of HPC Applications on Cloud Resources","Brock Palen","U of Michigan / Xsede, CAEN HPC","12/11/2013 - 20:42","",""
"398","","Ensuring Data Security and Accountability for Data Sharing in the Cloud","Sandip Bhagat","Veermata Jijabai Technological University, Mumbai India. , Veermata Jijabai Technological University, Mumbai India. Computer Engineering Department.","12/05/2013 - 15:35","",""
"399","","Information extraction from biomedical literature using text mining approaches","Rui Du","University of Wisconsin Milwaukee, Department of Engineering and computer science","12/07/2013 - 03:57","",""
"397","","Laboratory for Cosmological Data Mining","Robert Brunner","University of Illinois, Astronomy & NCSA","11/22/2013 - 11:03","",""
"396","","Course: EEL-5934 Principle of Computer Systems Design Fall-13 Class Projects","Renato Figueiredo","University of Florida, Electrical and Computer Engineering","11/14/2013 - 09:26","",""
"395","","Stor Trusted P2P Storage System","Subrat Sharma","University of Colorado, Computer Science Department","11/13/2013 - 06:43","",""
"393","","SLURM testbed","Troy Baer","University of Tennessee, National Institute for Computational Sciences","11/05/2013 - 15:50","",""
"394","","Hydroinformatics on the Cloud","Kate Keahey","University of Chicago, Computation Institute","11/06/2013 - 13:22","",""
"392","","Using Clouds to Scale GIS Applications","Kate Keahey","University of Chicago, Computation Institute","11/01/2013 - 14:36","",""
"391","","Course: Topics in Parallel Computation","Heru  Suhartanto","Universitas Indonesia, Faculty of Computer Science","10/30/2013 - 05:04","","See Link"
"389","","Investigating the Apache Big Data Stack","ibrahim hallac","Firat University, Computer Science Department","10/28/2013 - 16:03","",""
"384","","Graph/network analysis Resource manager","Tirtha Bhattacharjee","Virginia Bioinformatics Institute, Virginia Polytechnic Institute and State University, Network Dynamics and Simulation Science Laboratory","10/23/2013 - 16:19","",""
"382","","Reliability Analysis using Hadoop and MapReduce","Carl Walasek","University of the Sciences , Mathematics, Physics, and Statistics Department","10/15/2013 - 16:45","","See Link"
"383","","SenseHealth: A Platform to Enable Personalized Healthcare through Context-aware Sensing and Predictive Modeling Using Sensor Streams and Electronic Medical Record Data","Sameer Tilak","UCSD, Calit2, UCSD","10/17/2013 - 18:10","",""
"381","","Authentication of Mobile Cloud Computing","Shane Green","Colorado Technical University, Computer Science and Engineering","10/02/2013 - 10:00","",""
"380","","Big Data Applications and Analytics","Abhilash Koppula","Indiana University, Community Grids Lab","09/30/2013 - 14:44","",""
"379","","The genome of a terrestrial metazoan extremophile","Luis Cunha","Cardiff University, School of Biosciences","09/25/2013 - 07:42","","See Link"
"376","","Simplified Deployments of Distributed Data Architectures","Peter Klipfel","University of Colorado at Boulder, Computer Science","09/18/2013 - 19:19","",""
"375","","Course: Testbed for Metagenomics","Blake Stamps","University of Oklahoma, Department of Microbiology and Plant Biology","09/18/2013 - 11:59","",""
"374","","Course: Cloud and Distributed Computing","Philip Rhodes","University of Mississippi, Department of Computer Science","09/15/2013 - 13:53","",""
"373","","Type Architectures and Parallel Programming Languages","Andrew Grimshaw","University of Virginia, Computer Science","09/10/2013 - 11:19","",""
"372","","Mobile Device Computation Offloading over SocialVPNs","Renato Figueiredo","University of Florida, Electrical and Computer Engineering","09/05/2013 - 20:34","",""
"370","","Course: CIIC 8995: Mining Massive Datasets","Edgar Acuna","University of Puerto Rico Mayaguez, Mathematical Sciences","09/03/2013 - 14:01","",""
"371","","Characterizing Infrastructure Cloud Performance for Scientific Computing","Theron Voran","University of Colorado at Boulder, Computer Science Department","09/03/2013 - 17:06","",""
"365","","Forest Project","Erik Keever","Argonne Natl. Lab, Mathematics and Computer Science Division","08/28/2013 - 18:43","",""
"366","","Cloud Virtualization Environment Analysis towards High Performance Storage Solutions","Malek Musleh","Purdue University, ECE","08/29/2013 - 01:24","",""
"367","","Optimize rapid deployment and updating of VM images at the remote compute cluster","Jan Balewski","Massachusetts Institute of Technology, Laboratory for Nuclear Science","08/29/2013 - 12:40","",""
"368","","Course: Fall 2013 P434 Distributed Systems Undergraduate Course","Judy Qiu","Indiana University, School of Informatics and Computing","08/29/2013 - 17:00","",""
"369","","Testing of Network Facing Services for the Open Science Grid","Igor Sfiligoi","University of California San Diego, Physics Department","08/29/2013 - 20:54","",""
"363","","Course: Applied Cyberinfrastructure concepts","Nirav Merchant","University of Arizona, Arizona Research Laboratories, School of Information Sciences Technology and Arts","08/22/2013 - 10:40","",""
"364","","Course: EEL6871 Autonomic Computing","Meng Han","University of Florida, ACIS","08/22/2013 - 16:01","",""
"362","","Course: Cloud Computing and Storage (UF)","Andy Li","University of Florida, Department of Electrical and Computer Engineering","08/22/2013 - 10:37","",""
"361","","Streaming in the Clouds","Radu Tudoran","INRIA Rennes, INRIA","08/20/2013 - 07:55","",""
"359","","Testing MPI_Barrier Optimized with NetFGPA against Mellanox Core-Direct","Omer Arap","Indiana University, School of Informatics and Computing / DAMSL","08/09/2013 - 12:55","",""
"360","","XSEDE Software Development and Integration Testing","Shava Smallen","UC San Diego, San Diego Supercomputer Center","08/09/2013 - 17:06","",""
"358","","Course: UoIceland Teaching","Morris Riedel","Juelich Supercomputing Centre, Federated Systems and Data","08/09/2013 - 05:36","","See Link"
"357","","NRAO: Run CASA pipeline using XCG (including FG resources)","Andrew Grimshaw","University of Virginia, Computer Science","07/23/2013 - 11:08","",""
"356","","IPython pipelines for training life sciences researchers on NGS data analysis","Todd Blevins","Indiana University, Depts of Biology and Molecular and Cellular Biochemistry / HHMI, Pikaard Lab","07/14/2013 - 18:41","",""
"354","","A scalable matrix-based framework for social dynamics learning","Jie Wang","Indiana University Northwest, Computer Information Systems Department","07/10/2013 - 11:11","",""
"355","","Course: Data Center Scale Computing Class","Dirk Grunwald","Univ. of Colorado, Boulder, Computer Science","07/10/2013 - 11:31","",""
"350","","Global Sensitivity Analysis in Non-premixed Counterflow Flames","Katherine Holcomb","University of Virginia, UVACSE","07/02/2013 - 15:45","",""
"351","","Likelihood Ratio Tests for Cointegration, Cobreaking and Cotrending","Katherine Holcomb","University of Virginia, UVACSE","07/02/2013 - 16:19","",""
"352","","Inference on Market Power in Markets with Multiple Equilibria","Katherine Holcomb","University of Virginia, UVACSE","07/02/2013 - 16:24","",""
"353","","Software as a Service Framework to Execute Scientific Applications in Federated Environments","Javier Diaz Montes","Rutgers, The State University of New Jersey, Rutgers Discovery Informatics Institute (RDI2) / NSF Center for Cloud and Autonomic Computing (CAC)","07/02/2013 - 17:11","",""
"345","","Performance evaluation and improvement on NoSQL systems","Yuzhe Tang","Georgia Institute of Technology, College of Computing,","06/18/2013 - 11:55","",""
"348","","Scalable Framework for Agent-Based Computing","Scott McCaulay","Indiana University, UITS","06/25/2013 - 12:13","",""
"349","","MapReduce Scheduling in Cloud Environments","Renan DelValle","Binghamton University, Computer Science","06/25/2013 - 13:24","",""
"347","","salsaDPI: a dynamic provisioning interface for public/ private IaaS cloud","Tak-Lon Wu","Indiana University, Pervasive Technology Institute / Community Grids Laboratory","06/24/2013 - 14:46","",""
"346","","Course: Example Course On Advanced Cloud Computing","Albert Elfstein","Indiana University, Computer Science Department","06/21/2013 - 14:11","",""
"344","","Exploring map/reduce frameworks for users of traditional HPC","Glenn K. Lockwood","University of California San Diego, San Diego Supercomputer Center","06/18/2013 - 02:04","","See Link"
"343","","The iPlant Foundation API","Rion Dooley","University of Texas at Austin, TACC","06/14/2013 - 03:44","",""
"338","","FutureGrid CompatibleOne Appliance","Gary Mazzaferro","Alloy Cloud, Eng","05/27/2013 - 20:29","",""
"341","","Course: Parallel Computing","Wilson Rivera","University of Puerto Rico, Electrical and Computer Emgineering Department","06/11/2013 - 12:57","",""
"340","","Research: Parallel Computing for Machine Learning","Wilson Rivera","University of Puerto Rico, Electrical and Computer Emgineering Department","06/11/2013 - 12:50","",""
"342","","Hadoop built on Apache Mesos layer","John Lockman ","University of Texas at Austin, Texas Advanced Computing Center","06/12/2013 - 17:50","",""
"339","","REU: FutureGrid Introduction","Mohammed Rangwala","Indiana University Purdue University Indianapolis, Department of Computer and Information Science","05/29/2013 - 23:30","",""
"337","","Content-based Histopathology Image Retrieval using a CometCloud-based infrastructure","Javier Diaz Montes","Rutgers, The State University of New Jersey, Rutgers Discovery Informatics Institute (RDI2) / NSF Center for Cloud and Autonomic Computing (CAC)","05/24/2013 - 14:50","",""
"334","","Tutorial on Cloud Computing and Software-defined Networking","Jose Fortes","University of Florida, Advanced Computing and Information Systems (ACIS) Lab","05/21/2013 - 09:32","",""
"335","","Legislator Ideology Scores for Divided Government Project","Eric Svensen","University of Texas, Austin, Government","05/21/2013 - 20:40","",""
"333","","Intrusion Detection and Prevention for Infrastructure as a Service Cloud Computing System","Jessie  Walker","University of Arkansas at Pine Bluff , Computer Science","05/17/2013 - 09:59","","See Link"
"331","","Elastic Site - Using Clouds to Elastically Extend Site Resources","Ravi Teja Mahavrathayajula","National Institute Of Technology Srinagar,India, Dept. of Information Technology","05/10/2013 - 10:47","",""
"328","","Dynamic Modelling and Artificial Intelligence in Study of Conflicts and Reconstruction","Lorho Thierry","GMAP center, GMAP center","05/05/2013 - 02:28","",""
"329","","Simulation of Partition-resilient Overlay Peer-to-Peer Networks","Renato Figueiredo","University of Florida, Electrical and Computer Engineering","05/07/2013 - 05:05","",""
"327","","Semantic Validation","K Watkins","Wright State University, Kno.e.sis Research Laboratory","04/26/2013 - 16:38","",""
"326","","Biosimulation test using GPUs","Charles Welzig","Medical University of South Carolina, Neurosciences","04/25/2013 - 15:27","",""
"325","","BioCreative shared task","Feifan Liu","University of Wisconsin Milwaukee, Computer Science","04/21/2013 - 13:11","",""
"323","","Biomedical Natural Language Processing","Euisung Jung","University of Wisconsin at Milwaukee, Business / MIS department","04/19/2013 - 16:06","","See Link"
"324","","R&D on FRIB on-line fast lattice optimizer using cloud technique","Zhengqi He","Michigan State University, FRIB","04/19/2013 - 17:57","",""
"322","","Parallel Clustering on GPU's","Gregor von Laszewski","Indiana University, Community Grids Laboratory","04/05/2013 - 07:25","","See Link"
"321","","SSD performance benchmarking","Sameer Tilak","UCSD, Calit2, UCSD","04/04/2013 - 16:38","",""
"319","","GlideinWMS","Mats Rynge","USC, ISI","03/25/2013 - 16:29","",""
"320","","Morphomics","Peng Zhang","University of Michigan, Department of Surgery","03/25/2013 - 22:14","",""
"318","","Course: High Performance Computing Class","Wilson Rivera","University of Puerto Rico, Electrical and Computer Emgineering Department","03/20/2013 - 13:16","",""
"316","","Course: Cloud Computing Class - third edition","Massimo Canonico","University of Piemonte Orientale, Computer Science Department","03/11/2013 - 14:38","",""
"315","","Biome representational in silico karyotyping","Aaron Lee","Washington University at St Louis, School of Medicine, Department of Ophthalmology and Visual Sciences","03/07/2013 - 15:35","",""
"314","","User-friendly tools to play with cloud platforms","Massimo Canonico","University of Piemonte Orientale, Computer Science Department","03/06/2013 - 10:04","","See Link"
"313","","HyFlowTM","Roberto Palmieri","Virginia Tech, Department of Electrical and Computer Engineering","02/26/2013 - 12:31","","See Link"
"312","","Sensor-Rocks: A novel integrated framework to improve software  Operations and Management (O&M) and power management in environmental  observing systems","Sameer Tilak","UCSD, Calit2, UCSD","02/22/2013 - 16:27","",""
"311","","HPC Web Server","David Choi","University of Texas at Austin, TACC","02/19/2013 - 13:44","",""
"310","","OpenStack Familiarization for TACC","Warren Smith","University of Texas at Austin, Texas Advanced Computing Center","02/13/2013 - 10:32","",""
"306","","Eucalyptus and Openstack","Sharath S","Visvesvaraya Technological University, Computer science organization","01/29/2013 - 01:14","",""
"307","","intercloud","Minlan Yu","University of Southern Clifornia, Computer Science","02/04/2013 - 12:30","",""
"309","","Cloud SE POC","Alina Danila","Faculty of Computer Science, Iasi, Romania, Computer Science Department","02/07/2013 - 18:06","",""
"308","","Course: Computational Techniques for Large-Scale Data Analysis (CSE 491/891)","Pang-Ning Tan","Michigan State University, Computer Science & Engineering","02/05/2013 - 15:41","",""
"305","","Bundles: Distributed Cloud Resources","Jon Weissman","University of Minnesota, Computer Science","01/18/2013 - 17:27","",""
"304","","Twister fault tolerance","Fei Teng","Indiana University, CSCI Fall 2011 B649 Cloud Computing","01/16/2013 - 14:36","",""
"303","","D-SnapSim Experiments","JIANNAN ZHAI","Clemson University, School of Computing","01/15/2013 - 15:58","",""
"336","X","Understanding Fluid Flow in Microchannels using a CometCloud-based Federated HPC infrastructure","Javier Diaz Montes","Rutgers, The State University of New Jersey, Rutgers Discovery Informatics Institute (RDI2) / NSF Center for Cloud and Autonomic Computing (CAC)","01/01/2013 - 14:27","","See Link"
"301","","Course: Advanced Networking class University of Colorado","Eric Keller","University of Colorado, Electrical, Computer, and Energy Engineering","12/17/2012 - 15:10","",""
"300","","compatibleone","Iain James Marshall","Prologue, Expertise Manager","12/15/2012 - 12:36","",""
"299","","Pluggable Event Architecture for Cloud Environments","Jeffrey Cox","Indiana University, Computer Science Department","12/11/2012 - 17:05","",""
"298","","FRIEDA: Flexible Robust Intelligent Elastic Data Management","Lavanya Ramakrishnan","Lawrence Berkeley National Lab, Advanced Computing for Science","12/06/2012 - 13:38","",""
"297","","Network Aware Task Scheduling in Hadoop","Lei Ye","University of Arizona, Computer Science Department","12/01/2012 - 18:08","",""
"295","","Scalability, Verification, and Validation Test of Scientific Applications and Related Utilities","Lonnie D. Crosby","University of Tennessee, Knoxville, National Institute for Computational Sciences","11/20/2012 - 16:16","",""
"296","","Teefaa: Framework for Bare-Metal Provisioning integrated with Cloud Infrastructure","Koji Tanaka","Indiana University, Community Grids Laboratory","11/20/2012 - 20:07","",""
"294","","Predicting economic activities using social media","Shuyuan Deng","University of Wisconsin -Milwaukee, Information Technology Management Department, Lubar School of Business","11/17/2012 - 00:02","",""
"293","","Future Testbeds","Robert Ricci","University of Utah, School of Computing, Flux Research Group","11/15/2012 - 11:19","",""
"291","","Course:  Distributed Computing","David Fergusson","BioIT, BioIT","11/12/2012 - 11:49","",""
"292","","Big Data Analytics for GatorCloud","Dapeng Wu","University of Florida, Dept. of Electrical and Computer Engineering","11/12/2012 - 19:22","",""
"289","","Benchmarking the cloud","Ashish Jain","University of Southern California, Computer Science Department","11/09/2012 - 23:00","",""
"288","","Federating HPC, Cyberinfrastructure and Clouds using CometCloud","Javier Diaz Montes","Rutgers, The State University of New Jersey, Rutgers Discovery Informatics Institute (RDI2) / NSF Center for Cloud and Autonomic Computing (CAC)","11/09/2012 - 18:33","",""
"286","","Query and analysis of provenance using Mapreduce","You-Wei Cheah","Indiana University, Data to Insight Center","11/07/2012 - 15:19","",""
"287","","Cloud-enabled Subsurface Modeling","Ravi Vadapalli","Texas Tech University, High Performance Computing Center","11/07/2012 - 17:01","",""
"284","","Class Assignment: Map Reduce Comparison","Hang Li","University of Southern California, Electrical Engineering","11/03/2012 - 14:38","","See Link"
"277","","Dynamic Scheduling and Load Balancing for Monte Carlo based Radiotherapy Simulations","Akash Pargat","Texas Tech University, High Performance Computing Center","10/16/2012 - 15:19","",""
"278","","Coastal-Ocean Simulation in Southeast Asia","Ekasit Kijsipongse","National Electronics and Computer Technology Center, Large-scale Simulation Research Laboratory","10/17/2012 - 03:48","",""
"279","","Course: Mastering OpenStack","Abdelkrim Hadjidj","University of Technology of Compiegne, Heudiasyc","10/17/2012 - 08:48","",""
"275","","Twister Collective Iterative MapReduce Development","Bingjing Zhang","Indiana University, Pervasive Technology Institute","10/08/2012 - 00:42","",""
"276","X","Course (1 day): K12 Introduction High Performance and Cloud Computing","Thomas Hacker","Purdue University, Computer & Information Technology","10/08/2012 - 10:21","","See Link"
"273","","Digital Provenance Research","Mohammed Rangwala","Indiana University Purdue University Indianapolis, Department of Computer and Information Science","10/03/2012 - 09:01","",""
"274","","Course: Trial run - BUS S523 Large Scale Data Analysis","Binny Samuel","Indiana University, Kelley School of Business, ODT Department","10/03/2012 - 13:51","",""
"270","","Microbial community structure of boreal and Artic soil samples","Tejesvi Mysore","University of Oulu, Department of Biology","09/28/2012 - 04:21","",""
"271","","Sequence alignment for Phylogenetic Tree Generation on Big Data Set","Yang Ruan","Indiana University, Pervasive Technology Institute","09/28/2012 - 21:46","",""
"269","","Course: P434 MapReduce Class Project","Scott Jensen","Indiana University, Computer Science","09/19/2012 - 15:13","",""
"199","X","FutureGrid Early Users","Gregor von Laszewski","Indiana University, Community Grids Laboratory","03/21/2012 - 15:06","Early Users",""
"266","","Secure medical files sharing","Abdelkrim Hadjidj","University of Technology of Compiegne, Heudiasyc","09/15/2012 - 06:27","",""
"267","","Investigation of Security on client platforms in e-health systems","LaWanda Warren","Florida A & M University, Computer and Information Science","09/17/2012 - 22:37","",""
"263","","Hello MapReduce","Dong Wang","University of Florida, ECE","09/10/2012 - 14:42","",""
"264","","Course: 1st Workshop on bioKepler Tools and Its Applications","Ilkay Altintas","UCSD, SDSC","09/11/2012 - 23:28","","See Link"
"265","X","Course: SC12 Tutorial","John Bresnahan","Nimbus, Argonne National Lab","09/12/2012 - 21:28","",""
"260","X","Improve resource utilization in MapReduce","Zhenhua Guo","Indiana University, Pervasive Technology Institute","09/06/2012 - 15:54","","See Link"
"261","X","Investigation of Data Locality and Fairness in MapReduce","Zhenhua Guo","Indiana University, Pervasive Technology Institute","09/06/2012 - 16:33","","See Link"
"259","","Performance analysis of a parallel CFD solver in cloud computing clusters","Pratanu Roy","Texas A&M University, Department of Mechanical Engineering","09/04/2012 - 12:09","",""
"257","","Particle Physics Data analysis cluster for ATLAS LHC experiment","Doug Benjamin","Duke University, Physics Department - High Energy Physics","09/02/2012 - 10:25","",""
"253","","Characterizing Performance of Infrastructure Clouds","Paul Marshall","University of Colorado at Boulder, Computer Science","08/29/2012 - 10:38","",""
