"ProjectId","Completed","Title","Project Lead","Institution","Submitted Time","Keywords","Results"
"127","X","Course: Fresno System Architecture and Cloud Computing Class","Cui Lin","California State University, Fresno, Computer Science","05/31/2011 - 20:10","system programming, system architecture, cloud computing",""
"122","X","Course: Cloud computing class","Massimo Canonico","University of Piemonte Orientale, Computer Science Department","05/17/2011 - 05:09","class, teaching, comparison of different cloud middlewares","See Link"
"123","","CSULA Business Intelligence on Map/Reduce","Jongwook Woo","California State University Los Angeles, CIS department","05/18/2011 - 23:50","Market Basket Analysis, Customer Analysis, Data Mining, Business Intelligence,  MapReduce,",""
"124","X","Course: CCGrid2011 Tutorial","Gregor von Laszewski","Indiana University, Community Grids Laboratory","05/20/2011 - 17:35","tutorial, future grid, nimbus, eucalyptus, hpc","See Link"
"114","","Hierachical Multidimensional Scaling process Massive Metageonomics data","Yang Ruan","Indiana University, Pervasive Technology Institute","04/22/2011 - 17:44","pairwise clustering, multidimentional scaling, Needleman-wunch, Smith-waterman",""
"119","","Keyword-based Semantic Association Discovery","Mo Zhou","Indiana University , Computer science","05/04/2011 - 12:44","Keyword, Semantic Association, MapReduce, Parallel",""
"120","X","Workshop: A Cloud View on Computing","Jerome  Mitchell","PTI, Indiana University","05/09/2011 - 10:56","outreach, cloud computing","See Link"
"121","","Elastic Computing","Paul Marshall","University of Colorado at Boulder, Computer Science","05/16/2011 - 16:38","elastic computing, cloud computing, infrastructure-as-a-service",""
"116","","HPC Scheduling","Kenneth Yoshimoto","UCSD, SDSC","04/26/2011 - 16:50","Catalina GUR MCP metascheduling python","See Link"
"117","","Collaborative Data Distribution and VM Provisioning","Jiangyan Xu","University of Florida, Advanced Computing and Information Systems Laboratory","04/28/2011 - 16:37","P2P, BitTorrent, Cloud, Provisioning",""
"118","","Testing new paradigms for biomolecular simulation","Peter Kasson","University of Virginia, Departments of Molecular Physiology and of Biomedical Engineering","04/30/2011 - 19:15","molecular dynamics, Markov State Model, gromacs, protein folding","See Link"
"115","","Cloud Computing Research at UC Riverside","Harsha Madhyastha","University of California, Riverside, Department of Computer Science and Engineering","04/23/2011 - 13:17","cloud computing, application development, application deployment",""
"113","","End-to-end Optimization of Data Transfer Throughput over Wide-area High-speed Networks","Tevfik Kosar","University at Buffalo, Computer Science and Engineering","04/13/2011 - 10:02","End-to-end throughput optimization, TCP, GridFTP, parallel streams, buffer size, disk striping, CPU striping, Stork, data scheduling.","See Link"
"110","","FutureGrid Systems Development","Gary Miksik","Indiana University, Pervasive Technology Institute / Digital Science Center/ Community Grids Laboratory","04/08/2011 - 09:15","FutureGrid, Systems",""
"112","","University of California (UC) Grid and Cloud Project","Prakashan Korambath","UCLA, ATS","04/08/2011 - 15:20","UC, Grid, Cloud","See Link"
"109","","PerfClusters - Analysis and Selection of Public Clusters Based on QoE (Quality of Experience)","Antonio Rafael Braga","Federal University of Ceará, Department of Teleinformatics Engineering","03/31/2011 - 11:44","virtual clusters, real clusters, QoE",""
"101","","Annotation of High-Throughput Transcriptome Data","Katherine Holcomb","University of Virginia, UVACSE","03/24/2011 - 11:39","Gene sequencing, Genesis II, high-throughput computing",""
"102","","Genetic Analysis of Metapopulation Processes in the Silene-Microbotryum Host-Pathogen System","Katherine Holcomb","University of Virginia, UVACSE","03/24/2011 - 12:28","Gene suquencing, Genesis II, High Throughput Computing",""
"103","","Investigation of the evolutionary origin of mitochondria by BLAST analysis","Katherine Holcomb","University of Virginia, UVACSE","03/24/2011 - 12:45","Genesis II, High Throughput Computing",""
"104","","Hunting the Higgs Boson with Matrix Element Methods","Katherine Holcomb","University of Virginia, UVACSE","03/24/2011 - 12:53","Higgs Boson, Genesis II, High Throughput Computing",""
"105","","Design space exploration with the M5 simulator","Katherine Holcomb","University of Virginia, UVACSE","03/24/2011 - 13:03","design space, Genesis II, High Throughput  Computing",""
"106","","Global Sensitivity Analysis in Non-Premixed Counterflow Flames","Katherine Holcomb","University of Virginia, UVACSE","03/24/2011 - 13:09","Global Sensitivity Analysis,  GSA, Genesis II, High Throughput Computing",""
"107","","Continuous Time Markov Chain Models for Threshold Exceedance","Katherine Holcomb","University of Virginia, UVACSE","03/24/2011 - 13:22","Markov Chain, Genesis II, High Throughput Computing",""
"108","","Mixture Model Simulation with R","Katherine Holcomb","University of Virginia, UVACSE","03/24/2011 - 13:34","Simulation, EM algorithm, Genesis II, High Throughput Computing",""
"99","","Cloud-Based Support for Distributed Multiscale Applications","Katarzyna Rycerz","AGH, Krakow, Institute of Computer Science","03/09/2011 - 04:27","multiscale computing, cloud computing, HPC","See Link"
"100","","UniFrame : QoS aware Service Discovery and Composition framework for Cloud","Lahiru Pileththuwasan Gallege","IUPUI, Computer and Information Science / Distributed Systems and Software Engineering Lab / SL116","03/09/2011 - 14:54","QoS, Service Discovery, Service Composition, Cloud Computing",""
"98","","Performance Evaluation of Data Intensive Scientific Applications","Sriram Krishnan","University of California, San Diego, San Diego Supercomputer Center","03/08/2011 - 13:50","performance, data intensive computing, geosciences, bioinformatics",""
"96","","Using Various Cloud Frameworks for Bioinformatics Application","Yuduo Zhou","Indiana University, Pervasive Technology Institute","03/03/2011 - 12:52","Bioinformatics, Gene, Pair-wise Distance, Cloud Computing",""
"97","","FutureGrid and Grid'5000 Collaboration","Mauricio Tsugawa","University of Florida, University of Florida","03/04/2011 - 04:20","Sky Computing, Cloud Computing, Overlay Networks",""
"95","","Comparision of Network Emulation Methods","David Hancock","Indiana University, UITS - Research Technologies","02/25/2011 - 09:18","spirent, network, emulation, bandwidth","See Link"
"94","","SpeQulos: A Framework for QoS in Unreliable Distributed Computing  Infrastructures using Cloud Resources.","Simon Delamare","INRIA - France, Avalon team - INRIA Rhone Alpes","02/23/2011 - 10:34","Hybrid Distributed Infrastructure, Best effort, Cloud, Desktop Grid, Quality of Service",""
"93","","Extending local resource using Clouds","John Thottam","Model Engineering College, Cochin University of Science And Technology , Computer Science Division","02/20/2011 - 08:40","Cloud Computing, Virtual Machines, Nimbus",""
"89","X","Support multiple dimensional index in HDFS on the FutureGrid platform","Abhijeet Kodgire","Indiana University, Computer Science","02/03/2011 - 10:35","Writing upper ware for HDFS",""
"90","","Unicore and Genesis Experimentation","Shava Smallen","UC San Diego, San Diego Supercomputer Center","02/03/2011 - 10:38","unicore, genesis",""
"91","","Integrated Information Services (IIS) Testing","John-Paul Navarro","Univ. of Chicago/Argonne National Laboratory, Mathematics & Computer Science Division","02/03/2011 - 14:32","iis, information services, rest, teragrid, xd",""
"92","","Cloud application monitoring experimentation and research","Jonathan Cook","New Mexico State University, Computer Science Department","02/09/2011 - 13:41","cloud computing, application monitoring",""
"85","","Exploring HPC Fault Tolerance on the Cloud","Hui Jin","Illinois Insitute of Technology, Computer Science Department","01/26/2011 - 19:46","Cloud, Fault Tolerance,  Checkpointing","See Link"
"86","X","Parallel Analysis of EEG Data with Hadoop on FutureGrid","Lizhe Wang","Indiana University, Pervasive Technology Institute","01/31/2011 - 09:03","Hadoop, EEMD, EEG, MapReduce",""
"87","","I399 Bioinformatics and Cyberinfrastructure project - 1000 Genomes protein analysis","Andrew Younge","Indiana University, Community Grids Laboratory","02/01/2011 - 07:45","1399,Bioinformatics,Cyberinfrastructure,Cloud Computing","See Link"
"88","","A credit card system for Virtual machines within FutureGrid","Andrew Younge","Indiana University, Community Grids Laboratory","02/01/2011 - 08:22","cloud computing, nimbus, eucalyptus, credit card, payment","See Link"
"83","X","OpenStack on FutureGrid","Sharif Islam","Indiana University, Indiana University","01/19/2011 - 17:43","openstack futuregrid ec2 euca2ools",""
"84","X","Development of an Index File System to Support Geoscience Data with Hadoop","Sonali Karwa","Indiana University, Pervasive Technology Institute","01/20/2011 - 09:48","GIS,POSTGIS,MapReduce,Hadoop","See Link"
"82","","FG General Software Development","Gregor von Laszewski","Indiana University, Community Grids Laboratory","01/19/2011 - 17:13","FutureGrid",""
"81","","Use of VMs for OSG application deployment","Kate 
 Keahey","Open Science Grid, Fermilab","01/16/2011 - 15:31","OSG",""
"78","","Exploring VMs for Open Science Grid Services","Scott 
 Teige","Open Science Grid, Fermilab","01/13/2011 - 08:42","Open Science Grid, OSG, grid.","See Link"
"72","X","Course: B534 Distributed systems Graduate/Undergraduate Class","Judy Qiu","Indiana University, School of Informatics and Computing","01/08/2011 - 12:15","Education MapReduce Virtual Machines MPI",""
"49","","Experiments for Science Cloud","JunWeon 
 Yoon","SuperComputing Center, KISTI(Korea Information Science and Technology Institute)","12/02/2010 - 16:44","Science, Climate, Astronomy, Biology, Nimbus, Eucalyptus",""
"67","","Cloud Security and Forensics","Aniket
 Rastogi","Symbiosis Centre for Information Technology","12/20/2010 - 03:41","Cloud, Security, Incidents",""
"69","","Investigate provenance collection for MapReduce","Jiaan Zeng","Computer Science, Indiana University Bloomington","12/27/2010 - 11:30","MapReduce, Twister, Hadoop, Provenance",""
"79","","XSEDE system software testing","Andrew Grimshaw","University of Virginia, Computer Science","01/01/2011 - 12:00","XD, XSEDE, testing, grid software","See Link"
"63","","Collaborative Genomic Analysis Software Development","Christopher Hemmerich","Indiana University, Center for Genomics and Bioinformatics","12/15/2010 - 10:37","TIGR, Twister, HPC, Amazon",""
"64","X","Storage security for Clouds","Masoud 
 Valafar","University of Oregon, Computer Science

Link at the university seems no longer to ork, so Gregor closed the project","12/15/2010 - 13:07","Clouds, Storage, Security",""
"62","X","Evaluation of using XD TAS (Technology Auditing Service) in FutureGrid","Charng-Da Lu","SUNY, SUNY","12/14/2010 - 14:44","TeraGrid, XD, Technology Auditing Service, Clouds, HPC","See Link"
"61","","Hadoop Evaluation","Albert Everett","University of Arkansas at Little Rock, Graduate Institute of Technology","12/13/2010 - 12:47","Hadoop, MPI, OpenMP, Evaluation",""
"60","X","Wide area distributed file system for MapReduce applications on FutureGrid platform","Lizhe Wang","Indiana University, Pervasive Technology Institute","12/12/2010 - 12:18","Hadoop, MapReduce, Distributed, File, System",""
"59","","Scalable data management for cloud services","Alexandra Carpen-Amarie","INRIA, INRIA Rennes-Bretagne Atlantique Research Center/IRISA","12/10/2010 - 12:36","Nimbus, Cumulus, BlobSeer",""
"58","","Parallel Performance of GTM Dimension Reduction","Jong Youl Choi","Indiana University, Pervasive Technology Institue","12/08/2010 - 21:25","MPI, GTM, Benchmarking, Parallel",""
"57","","Use of xray and hotel","Greg Cross","University of Chicago, Computation Institution","12/08/2010 - 15:14","xray, hotel, systems, administration",""
"54","","Investigating cloud computing as a solution for analyzing particle physics data","Randall  Sobie","University of Victoria, Physics","12/07/2010 - 17:44","Nimbus, particle, physics, cloud, computing, data, preservation, BaBar","See Link"
"51","","Vampir","Thomas William","GWT-TUD GmbH, IT","12/06/2010 - 12:52","Performance, Analysis, HPC",""
"52","","Cost-Aware Cloud Computing","David Lowenthal","University of Arizona, Dept. of Computer Science","12/06/2010 - 13:28","iPlant, MapReduce, Clouds","See Link"
"53","","Combining public cloud and private cloud","Xiaoyong Zhou","Indiana University, TBD","12/06/2010 - 15:18","Privacy, Hybrid, Clouds, MapReduce",""
"50","X","Performance evaluation of  MapReduce applications","Yunhee Kang","Indiana University, PTI","12/02/2010 - 22:26","MapReduce, Performance, Evaluation, Virtual, Machine","See Link"
"48","","Cloud Technologies for Bioinformatics Applications","Thilina Gunarathne","Indiana University, Community Grids Laboratory","12/02/2010 - 16:42","Hadoop, DryadLINQ, Bioinformatics","See Link"
"47","","Parallel scripting using cloud resources","Michael Wilde","Argonne National Laboratory, Computation Institute","12/01/2010 - 11:08","Swift, parallel, scripting","See Link"
"44","","Managing an Adaptive Cloud Cache for Supporting Data-Intensive Applications","David Chiu","Washington State University, School of Engineering and Computer Science","11/24/2010 - 23:09","Clouds, Cache, Dataintensive",""
"9","","Distributed Execution of Kepler Scientific Workflow on Future Grid","Ilkay Altintas","UCSD, SDSC","11/23/2010 - 20:10","Distributed Execution of Kepler Scientific Workflow on Future Grid",""
"43","","ScaleMP Performance Evaluation","Robert Henschel","Indiana University, RT","11/24/2010 - 06:49","Bioinformatics, ScaleMP, Gene, Assembly, Large, Memory",""
"38","","Fine-grained Application Energy Modeling","Catherine Olschanowsky","UCSD, SDSC/PMaC","11/23/2010 - 16:05","Energy, GreenIT","See Link"
"40","","Inca","Shava Smallen","UC San Diego, San Diego Supercomputer Center","11/23/2010 - 17:15","INCA, Monitoring",""
"37","","EGI-InSPIRE","Michel Drescher","EGI.eu, EGI.eu","11/21/2010 - 04:35","Quality, Assurance, Grid, Software, EGI",""
"5","","Policy based distributed computing","Sumin
 Mohanan","University of Minnesota, Department of Computer Science and Engineering","11/17/2010 - 12:28","SAGA, Grids, Clouds, Policy",""
"36","","Advanced Technology for Sensor Clouds","Ryan Hartman","Indiana University, University Information Technological Services","11/14/2010 - 12:10","Sensors, Clouds, Grids","See Link"
"34","","Parallel File System","Yonggang Liu","University of Florida, Advanced Computing and Systems Laboratory","11/11/2010 - 00:29","Parallel, I/O, Parallel, File, Systems, Nimbus, QoS",""
"3","X","Survey of Open-Source Cloud Infrastructure using FutureGrid Testbed","Tak-Lon Wu","Indiana University, Pervasive Technology Institute / Community Grids Laboratory","11/09/2010 - 14:04","survey, cloud, iaas",""
"32","","Interoperability tests between OGF HPC-BasicProfile endpoints","Mariusz
 Mamonski","Poznan Supercomputing and Networking Center","11/09/2010 - 08:24","OGSA-BES, Interoperability, Genesis, II, SMOA, Unicore",""
"33","","Comparing Moab metascheduling to Condor and MCP (Modified Critical Path)","Jenett Tillotson","Indiana University, Research Technologies","11/09/2010 - 11:59","Moab, Nimbus, Condor, Metascheduling",""
"8","","Running workflows in the cloud with Pegasus","Gideon Juve","University of Southern California, Information Sciences Institute","11/05/2010 - 16:53","Running workflows in the cloud with Pegasus","See Link"
"30","","Publish/Subscribe Messaging as a Basis for TeraGrid Information Services","Warren Smith","University of Texas at Austin, Texas Advanced Computing Center","11/05/2010 - 10:26","Nimbus, TeraGrid, Information, Services, Publish/Subscribe","See Link"
"31","","Integrating High Performance Computing in Research and Education for Simulation, Visualization and RealTime Prediction","Anthony Chronopoulos","Unvirsity of Texas San Antonio, Department of Computer Sicence","11/05/2010 - 11:34","Education, Research, Clouds, MapReduce","See Link"
"29","","Metagenomics","Kashi Vishwanath Revanna","University of North Texas, Department of Biological Sciences","11/04/2010 - 11:31","Metagenomics",""
"28","X","Biosequence Alignment Studies","Adam Hughes","Indiana University, Pervasive Technology Institute","11/03/2010 - 13:52","Bioinformatics, Twister, MapReduce,",""
"4","","Word Sense Disambiguation for Web 2.0 Data","Jonathan Klinginsmith","Indiana University, School of Informatics","11/02/2010 - 10:40","MapReduce, Natural Language Processing","See Link"
"27","X","Evaluation of Hadoop for IO-intensive applications","Zhenhua Guo","Indiana University, Pervasive Technology Institute","10/28/2010 - 15:21","Hadoop, Hbase, Dataintensive","See Link"
"25","","Collaborative Research: North East Cyberinfrastructure Consortium","James Vincent","University of Vermont, Vermont Genetics Network","10/22/2010 - 03:30","Bioinformatics, Clouds, Workflow",""
"24","","Resource discovery in an asynchronous grid and cloud","Kyungyong Lee","University of Florida, ACIS Lab.","10/21/2010 - 11:22","Resource, Discovery, Grid, Cloud",""
"23","","Hardware Performance Monitoring in the Clouds","Shirley Moore","University of Tennessee, Electrical Engineering and Computer Science","10/19/2010 - 15:21","Clouds, PAPI, Performance, Monitoring",""
"42","","SAGA","Shantenu Jha","Louisiana State University, Center for Computation & Technology","10/15/2010 - 02:13","SAGA, API, Distributed, Applications, Interoperability","See Link"
"20","","Development of an information service for FutureGrid","Hyungro Lee","Indiana University, Community Grids Laboratory","10/14/2010 - 09:37","Information, Service, FutureGrid",""
"21","","FutureGrid - experiment harness","Lucas Wilson","University of Texas at Austin, Texas Advanced Computing Center","10/14/2010 - 12:38","experiment, harness, FutureGrid",""
"19","","PIRE: Training and Workshops in Data Intensive Computing Using The Open Science Data Cloud","Yunhong Gu","University of Illinois at Chicago, National Center for Data Mining","10/12/2010 - 12:54","Sector, Dataintensive, Clouds",""
"7","","SDCI NMI Improvement: Pegasus: From Concept to Execution- - -Mapping Scientific Workflows onto the National Cyberinfrastructure","Mats Rynge","USC, ISI","10/08/2010 - 15:46","Pegasus, Workflow, Nimbus, Eucalyptus, Elastic Resources",""
"2","","Deploy OpenNebula on FutureGrid","Gregor von Laszewski","Indiana University, Community Grids Laboratory","10/04/2010 - 12:19","OpenNebula, IaaS","See Link"
"18","","Privacy preserving gene read mapping using hybrid cloud","Yangyi Chen","Indiana University Bloomington, School of Informatics and Computing","10/04/2010 - 12:09","Security/Privacy, Bioinformatics, Hybrid, Cloud, Hadoop","See Link"
"16","","FutureGrid and Tempest/Madrid/Storm Support","John Naab","Indiana University, CGL","09/22/2010 - 01:20","FutureGrid, Tempest/Madrid/Storm, Support","See Link"
"17","X","Comparison of MapReduce Systems","Judy Qiu","Indiana University, School of Informatics and Computing","09/22/2010 - 06:36","Twister, Hadoop, Dryad","See Link"
"12","","The Virtual Block Store system","Xiaoming Gao","Indiana University, Pervasive Technology Institute","09/14/2010 - 22:23","Virtual, Block, Store, Eucalyptus, Nimbus, Lustre, Dataintensive",""
"13","","FutureGrid Systems Development and Prototyping","Koji Tanaka","Indiana University, Community Grids Laboratory","09/15/2010 - 11:24","Grid, Cloud, ScaleMP",""
"14","X","Course: Distributed Scientific Computing Class","Shantenu Jha","Louisiana State University, Center for Computation & Technology","09/15/2010 - 12:20","dataintensive, SAGA, Research, and, Education, Eucalyptus","See Link"
"15","","Grid Appliance","Panoat Chuchaisri","University of Florida, Computer and Information Sciences and Engineering","09/15/2010 - 15:25","Grid, Appliance, Clouds, Nimbus, Eucalyptus",""
"6","","Parameter sweeps for multi-cell models on FutureGrid","Randy Heiland","Indiana University, School of Informatics and Computing","09/14/2010 - 08:41","Biocomplexity, Clouds, TeraGrid, HPC",""
"10","","TeraGrid XD TIS(Technology Insertion Service) Technology Evaluation Laboratory","John Lockman ","University of Texas at Austin, Texas Advanced Computing Center","09/10/2010 - 11:18","TeraGrid, Technology, Insertion, Service",""
"1","","Peer-to-peer overlay networks and applications in virtual networks and virtual clusters","Renato Figueiredo","University of Florida, Electrical and Computer Engineering","09/08/2010 - 11:47","P2P, HPC, Virtual Networking, Cybersecurity, Resource Discovery","See Link"
"80","","Genesis II testing","Andrew Grimshaw","University of Virginia, Computer Science","08/20/2010 - 12:00","XD, XSEDE, testing, grid software","See Link"
"71","X","Course: B649 Topics on Systems Graduate Cloud Computing Class","Judy Qiu","Indiana University, School of Informatics and Computing","08/01/2010 - 12:00","Education, MapReduce, Hadoop, Twister, Dryad","See Link"
"77","X","Periodogram Workflow Running on FutureGrid Using Pegasus","Jens-S. Vöckler","University of Southern California, Information Sciences Institute","08/01/2010 - 12:00","Sky computing, Periodogram Workflow, Pegasus","See Link"
"70","X","Big Data for Science Summer School July 26-30 2010","Judy Qiu","Indiana University, School of Informatics and Computing","07/01/2010 - 12:00","Education, Hadoop, Twister, Data Intensive","See Link"
"73","X","TeraGrid QA Testing and Debugging","Shava Smallen","UC San Diego, San Diego Supercomputer Center","07/01/2010 - 12:00","TeraGrid, GRAM5, GridFTP5, QA","See Link"
"74","X","Sky Computing","Pierre Riteau","University of Chicago, Computation Institute","07/01/2010 - 12:00","sky computing, federated clouds","See Link"
"75","X","Cumulus","John Bresnahan","Nimbus, Argonne National Lab","07/01/2010 - 12:00","Cloud, Storage, Cumulus","See Link"
"76","X","Differentiated Leases for Infrastructure-as-a-Service","Paul Marshall","University of Colorado at Boulder, Computer Science","07/01/2010 - 12:00","IaaS","See Link"
"26","","Bioinformatics and Clouds","John Conery","University of Oregon, Center for Ecology and Evolutionary Biology","10/26/2010 - 12:28","Clouds, Bioinformatics","See Link"
"46","","Data Analysis in the Cloud","Amy Apon","Clemson University, School of Computing","11/29/2010 - 23:08","Virtual, Machines, Data-intensive, Minorities, Education",""
"68","","CFD and Workload Management Experimentation","John
 Duer","Cummins Inc., Combustion Research","12/20/2010 - 07:33","CFD, HPC, Cray, India",""
"45","","Experiments in Distributed Computing","Shantenu Jha","Louisiana State University, Center for Computation & Technology","11/28/2010 - 22:51","Education, Research, SAGA, OGF, Standards, Dataintensive","See Link"
"56","X","Windows and Linux performance comparison","Robert Henschel","Indiana University, RT","12/08/2010 - 14:53","sierra, Linux, Windows, Benchmarking","See Link"
"215","","FuturGrid Directory Entry","Gregor von Laszewski","Indiana University, Community Grids Laboratory","05/14/2012 - 11:01","",""